generation_idx	max_steps	mean_steps	max_apples	mean_apples	max_score	mean_score
376	8800	752.854	44	4.57	5.99429110403013E24	1.345266692898093E22
377	8000	644.608	45	5.008	5.06729434141403E23	1.9588637041833856E21
378	7400	681.278	44	5.376	2.101592391065091E23	1.373310720796207E21
379	7400	759.742	53	5.862	1.7827546525332186E26	3.656654447499976E23
380	8400	721.682	46	5.952	1.3033698796586926E24	1.285173633672712E22
381	8800	802.878	51	6.862	4.082347753758972E25	1.114562296349048E23
382	9400	789.628	54	6.79	4.540583469976231E26	1.1159525186129363E24
383	8800	752.584	54	6.852	4.791293467180601E26	1.2047774620304587E24
384	10200	772.992	50	5.964	1.1948139883406473E27	2.5577987220785935E24
385	9600	796.42	50	4.664	1.2451552249753947E26	3.038635950597003E23
386	9400	985.3	52	6.304	9.81233985142588E25	3.2767541659050704E23
387	8000	678.458	50	5.94	1.9268283999489733E25	6.044792564454146E22
388	8600	734.576	48	4.696	4.4244876019131293E24	2.6448232172240266E22
389	8800	709.284	49	5.088	9.455805336202108E24	3.991285320325059E22
390	10000	740.082	51	6.31	5.62949953421312E26	1.8386582897026225E24
391	9800	1043.068	48	7.23	2.6492199628025574E26	5.8967739836686976E23
392	10800	1002.5	53	8.642	1.1346476987588285E28	2.284337471297814E25
393	10400	861.98	56	7.416	2.532968545621243E27	8.899564393197294E24
394	9800	1149.28	49	9.292	2.6492199628025574E26	5.652570563005659E23
395	9800	1391.778	57	10.348	4.2850312461554434E27	9.77717105934118E24
396	8400	1194.648	55	9.316	9.756987713758993E26	2.0376141993240864E24
397	9200	1138.604	51	7.128	3.5438308040210045E25	2.624431089895819E23
398	11200	1103.112	55	6.984	5.061786573825901E28	1.0184510341749767E26
399	8600	1148.254	51	6.534	3.800072541888088E25	9.283969871786893E22
400	9800	903.962	53	5.35	2.6492199628025574E26	8.877500388945178E23
401	9600	909.03	57	5.894	3.173796275311149E27	6.657064231721236E24
402	10200	809.578	50	4.806	1.1948139883406473E27	2.4076241215337736E24
403	7800	900.702	52	5.686	9.0728848682461E25	3.6892820561566257E23
404	7200	736.666	49	4.718	8.027956606857642E24	2.6666925945777415E22
405	8800	869.756	48	5.524	5.99429110403013E24	3.698659407758276E22
406	8600	989.01	48	6.384	3.163616608641188E24	3.190497376994189E22
407	9000	1022.904	56	6.552	2.0992407389739432E27	4.248112912323092E24
408	10000	989.542	49	6.342	5.62949953421312E26	1.709522825746555E24
409	9400	816.3	49	4.756	5.844715301406088E25	1.4413319751542344E23
410	9800	1132.882	52	8.274	2.6492199628025574E26	8.150525802716462E23
411	9000	1020.306	47	7.432	1.2824703626379264E25	4.2511684762252505E22
412	8800	1243.93	51	8.554	3.746987318745739E25	1.5273159092065444E23
413	9000	1026.064	51	7.524	3.7602119676895468E25	1.5920602635731118E23
414	9000	898.876	56	6.682	1.864980375144963E27	4.385022296777127E24
415	9400	633.656	51	4.818	5.844715301406088E25	3.8147197448232E23
416	9600	855.102	52	5.966	1.2451552249753947E26	3.7972654320334426E23
417	10000	970.11	60	7.274	4.436158489679013E28	9.001362386409648E25
418	9400	765.344	49	6.098	5.844715301406088E25	1.5299881658819913E23
419	9400	801.034	54	5.456	3.318371230360557E26	1.1762225894801883E24
420	9600	968.304	50	6.632	1.2451552249753947E26	2.914410712543635E23
421	9200	1074.468	53	7.782	2.087283413963068E26	9.060272107824838E23
422	9800	772.202	53	5.128	2.6492199628025574E26	9.417890027546936E23
423	8600	866.364	53	6.62	1.8793531852795642E26	6.257415790374665E23
424	8600	938.65	51	6.366	2.527505210673701E25	5.797714491715153E22
425	7800	675.042	43	4.91	1.3044386049608909E23	5.278700111695358E20
426	8000	637.75	44	4.38	2.81474976710656E23	1.6689994851391187E21
427	7400	701.948	45	4.684	3.433708087438313E23	1.1713632290541959E21
428	8200	643.508	48	4.512	3.7755402176200017E24	1.1969827917391859E22
429	8600	682.194	48	4.0	3.042327895854886E24	1.6989192808802428E22
430	9200	493.232	45	3.004	2.7397648333108412E25	5.492852490564976E22
431	8200	624.828	47	4.696	1.7168239141802524E24	5.897271680190897E21
432	8600	723.834	49	4.62	7.61801659826913E24	2.8515464832584914E22
433	7800	607.17	48	4.424	3.6389749053362913E24	8.617258776643429E21
434	8800	392.726	45	3.526	5.99429110403013E24	1.3682159670292644E22
435	8000	642.644	49	5.456	6.707459920059078E24	1.4364669556038459E22
436	8600	578.014	48	4.838	3.53759949753208E24	1.7870251534446504E22
437	8400	631.068	47	5.104	1.856953210968415E24	8.442105230427446E21
438	8600	800.1	43	6.386	2.797403871666766E24	7.069272158826281E21
439	9000	833.462	47	5.872	1.2824703626379264E25	3.2434241790242183E22
440	7800	515.088	39	3.458	1.3044386049608909E23	2.7428826065405097E20
441	8400	656.046	41	4.378	1.3033698796586926E24	2.756406904089982E21
442	8200	604.654	56	4.2	1.4341270579733952E27	2.872052698004219E24
443	7800	634.114	40	4.354	1.3044386049608909E23	3.793559742347741E20
444	9200	463.408	45	3.62	2.7397648333108412E25	5.754703693183186E22
445	8400	755.092	45	4.77	1.3033698796586926E24	4.690991168956641E21
446	8800	560.776	50	3.42	2.697948841753042E25	6.622258922265863E22
447	7600	521.132	43	3.382	9.767614803563693E22	3.93207716254275E20
448	8200	514.25	50	3.118	1.6055913213715284E25	3.44815381294931E22
449	7800	553.758	50	3.96	1.947086944742344E25	3.922133917190137E22
450	6200	586.682	30	3.724	2.55902741430272E20	7.9011582366997312E17
451	8000	568.602	39	3.174	2.81474976710656E23	5.642338604470997E20
452	8200	595.48	41	3.568	6.062355271835976E23	1.4494114312476085E21
453	9400	796.276	46	4.804	5.844715301406088E25	1.1751998630944912E23
454	9200	837.138	46	5.702	2.7397648333108412E25	5.719584003356427E22
455	10400	1037.78	51	6.296	2.532968545621243E27	5.127303402969722E24
456	9400	1048.154	53	6.142	1.7768296973178276E26	6.055840156470054E23
457	9200	739.792	45	4.578	2.7397648333108412E25	5.551372357535289E22
458	8000	826.086	47	5.57	1.8358160892385957E24	5.211934954862E21
459	7800	709.65	49	4.808	7.61801659826913E24	2.0830202280340315E22
460	8000	691.208	49	4.498	9.837434960928232E24	4.87015094503653E22
461	10800	643.698	55	3.964	1.1346476987588285E28	2.4473380976777453E25
462	8400	762.552	52	4.96	7.933807359988716E25	2.4414970289433037E23
463	7200	684.286	48	3.96	4.8282952384700857E24	1.5911348302500682E22
464	8200	570.736	47	4.43	1.7619616129925425E24	9.324546056981798E21
465	7800	432.666	50	3.19	1.8801059838447734E25	4.72509507154121E22
466	9800	526.164	52	4.586	2.6492199628025574E26	9.202112835730088E23
467	8400	482.106	50	3.99	1.717334227187129E25	5.894538158926185E22
468	9600	615.992	51	5.382	1.2451552249753947E26	3.581260612357444E23
469	9400	458.938	52	4.104	9.896898151801335E25	3.884461745704462E23
470	10000	529.14	49	4.322	5.62949953421312E26	1.1638509677914965E24
471	9200	564.174	45	4.656	2.7397648333108412E25	5.623957004342215E22
472	8600	566.798	48	5.392	4.195412163367016E24	1.9044114795996784E22
473	10600	475.832	52	4.69	5.363859213792299E27	1.0730937364132673E25
474	10000	802.764	53	6.534	5.62949953421312E26	1.5545218151434397E24
475	9800	692.416	49	5.088	2.6492199628025574E26	5.470773479927455E23
476	8000	593.44	54	4.25	3.7710075816645377E26	7.818327039664722E23
477	9800	783.63	52	6.094	2.6492199628025574E26	7.328077188219232E23
478	9200	834.222	48	6.778	2.7397648333108412E25	8.38899542810517E22
479	9800	693.12	48	4.5	2.6492199628025574E26	5.33564296288495E23
480	11400	614.192	56	5.126	1.067564961013279E29	2.1355173689390105E26
481	8400	624.52	51	5.442	6.085941383292132E25	1.5660671064581026E23
482	9800	695.252	50	5.58	2.6492199628025574E26	5.921534923408242E23
483	10200	595.206	50	4.46	1.1948139883406473E27	2.419514964918742E24
484	9000	684.574	50	5.634	1.6155433054593475E25	1.0755666308841401E23
485	8800	628.444	49	5.188	7.704657073643415E24	5.323913651258027E22
486	9200	591.678	53	4.632	1.6422808357947704E26	5.373781958579731E23
487	10400	653.116	52	4.784	2.532968545621243E27	5.305860008746018E24
488	11000	849.804	61	7.104	7.324431565696915E28	1.974241436991978E26
489	9800	533.57	51	3.516	2.6492199628025574E26	6.829804467855602E23
490	8200	478.796	44	3.304	6.062355271835976E23	2.612987547305158E21
491	9800	734.16	56	4.958	1.6523173317355406E27	5.595314275452015E24
492	10400	760.546	51	5.604	2.532968545621243E27	5.263517467846828E24
493	9800	881.944	49	5.754	2.6492199628025574E26	8.188426806049901E23
494	8800	883.364	57	6.18	4.239548825848903E27	8.52410140958656E24
495	11200	874.3	56	7.056	5.061786573825901E28	1.611547012953655E26
496	11000	815.528	56	6.67	2.397716441612052E28	6.049617149701348E25
497	9400	690.68	52	5.628	7.45003041059484E25	4.7221229207032344E23
498	9000	634.908	51	5.386	4.432217573276674E25	1.624592743069865E23
499	9800	657.8	54	5.59	3.0937048897537097E26	1.298875796550698E24
500	10000	654.412	51	4.71	5.62949953421312E26	1.3432167860811612E24
501	10600	998.784	57	8.098	5.363859213792299E27	2.117841524431692E25
502	10200	1212.986	57	9.084	3.382001508019275E27	1.9023426328900865E25
503	11400	966.832	61	7.288	1.067564961013279E29	5.56822934274243E26
504	10200	807.94	56	7.246	2.508010290040698E27	7.927671172222097E24
505	10000	1019.12	52	6.254	5.62949953421312E26	1.5182034128611994E24
506	6600	762.49	52	4.734	4.980871458567568E25	1.2157030321517078E23
507	10600	937.53	52	5.846	5.363859213792299E27	1.1083014738897157E25
508	9200	996.228	46	5.796	2.7397648333108412E25	6.549698769472708E22
509	10400	853.932	51	5.01	2.532968545621243E27	5.067257529270685E24
510	9600	1075.514	52	6.236	1.2451552249753947E26	5.08597488894843E23
511	8800	990.506	47	6.366	5.99429110403013E24	1.905916796508617E22
512	9800	960.166	48	5.61	2.6492199628025574E26	5.4716972174784454E23
513	9400	1133.546	53	6.802	1.926851101221097E26	5.9993430663715195E23
514	10800	1269.116	53	7.558	1.1346476987588285E28	2.80952621827618E25
515	9400	1213.26	52	6.858	7.353958524915823E25	3.6112526285254305E23
516	9800	899.818	52	5.318	2.6492199628025574E26	8.05463505440185E23
517	9800	1018.606	56	8.176	1.1191580091932511E27	3.7318816585462665E24
518	9400	963.122	57	7.37	3.106342737833592E27	7.630186988125695E24
519	10200	1247.472	51	8.43	1.1948139883406473E27	2.672008724220645E24
520	9600	1336.568	52	9.374	1.2451552249753947E26	7.890562035398941E23
521	9800	1278.142	54	8.706	3.701654345700082E26	2.1919908328983554E24
522	9200	979.42	56	6.932	1.2103430830338699E27	2.64761812299005E24
523	12000	1326.946	59	9.684	9.961241799803158E29	2.2114155871735744E27
524	10600	1414.796	56	10.31	5.363859213792299E27	2.1279050790835942E25
525	9800	1250.32	58	9.126	6.505133610211702E27	1.4373782150667597E25
526	10000	1194.526	57	7.412	2.767843119951064E27	7.65091173423426E24
527	10600	1174.314	55	7.206	5.363859213792299E27	1.4644118009148486E25
528	10200	1354.078	61	8.128	6.269458324518234E28	1.3788081631580746E26
529	11400	1101.122	56	6.602	1.067564961013279E29	2.1520138051123843E26
